id,name,album,genres,artist,release_date,popularity,duration_ms,explicit,external_url,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,duration_score,multiplier,music_score,breathing_score
4pkb8SbRGeHAvdb87v9rpf,Miles On It,Miles On It,"brostep, edm, pop, progressive electro house","Marshmello, Kane Brown",2024-05-03,82,168355,False,https://open.spotify.com/track/4pkb8SbRGeHAvdb87v9rpf,0.634,0.761,5,-4.752,1,0.0472,0.00537,0.0,0.549,0.785,129.963,4,0.7701912640816319,1.083025,0.46499625000000006,0.668459592721088
2fPvQfGQEZOKtJ9qXeL4x8,I Can Do It With a Broken Heart,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,pop,Taylor Swift,2024-04-19,75,218004,True,https://open.spotify.com/track/2fPvQfGQEZOKtJ9qXeL4x8,0.701,0.751,0,-8.39,1,0.0502,0.123,0.0,0.15,0.22,129.994,4,0.7695304666414895,1.0832833333333334,0.44387083333333344,0.6609772555387708
4VI2Y5xg4gYynQqNQNQbTN,WHATCHU KNO ABOUT ME (with Sexyy Red),WHATCHU KNO ABOUT ME (with Sexyy Red),southern hip hop,"GloRilla, Sexyy Red",2024-10-10,64,149461,True,https://open.spotify.com/track/4VI2Y5xg4gYynQqNQNQbTN,0.836,0.691,1,-4.222,1,0.363,0.00586,0.0,0.282,0.703,167.029,4,0.7671995710834584,0.9279388888888889,0.4333116666666667,0.6559036029445279
3aCPResPDNae3pXTocGpYe,LIL DEMON,MIXTAPE PLUTO,"atl hip hop, hip hop, rap, southern hip hop, trap",Future,2024-09-20,78,139196,True,https://open.spotify.com/track/3aCPResPDNae3pXTocGpYe,0.863,0.754,11,-5.851,1,0.0611,0.00125,0.0,0.0913,0.301,131.001,4,0.7482352900626268,1.091675,0.4294166666666667,0.6419624155973068
3C94TlV5KIavC4EjzK2AHf,I'm Gonna Love You,How Do You Sleep At Night?,"classic texas country, contemporary country, modern country pop","Cody Johnson, Carrie Underwood",2024-10-11,53,188106,False,https://open.spotify.com/track/3C94TlV5KIavC4EjzK2AHf,0.552,0.494,3,-6.262,0,0.0318,0.358,2.94e-05,0.108,0.312,133.91,4,0.6885172159109666,1.1159166666666667,0.5474828416666667,0.6415057578295333
7ne4VBA60CxGM75vw0EYad,That’s So True,The Secret of Us (Deluxe),alt z,Gracie Abrams,2024-10-18,87,166300,True,https://open.spotify.com/track/7ne4VBA60CxGM75vw0EYad,0.554,0.808,1,-4.169,1,0.0368,0.214,0.0,0.159,0.372,108.548,4,0.6836376341100053,0.9045666666666666,0.49483958333333333,0.6207049505177813
30efCAopZCFcoi43sSToNr,prove it,prove it,"atl hip hop, hip hop, rap","21 Savage, Summer Walker",2024-01-10,68,207585,True,https://open.spotify.com/track/30efCAopZCFcoi43sSToNr,0.559,0.743,6,-5.418,0,0.167,0.38,0.0,0.23,0.263,133.897,4,0.6887783173040762,1.1158083333333333,0.48171249999999993,0.6197563782027175
3t6gUcGYLrUuqwpXjOFWQc,I Never Lie,Cold Beer & Country Music,modern country pop,Zach Top,2024-04-05,77,224906,False,https://open.spotify.com/track/3t6gUcGYLrUuqwpXjOFWQc,0.782,0.641,3,-6.431,1,0.0275,0.332,0.00923,0.108,0.522,107.997,4,0.6667111103701772,0.899975,0.5246933333333333,0.6193718513578959
1GpDcABDptCpIOALmD2S5f,I LUV HER (wth T-Pain),I LUV HER (wth T-Pain),southern hip hop,"GloRilla, T-Pain",2024-10-10,58,176000,True,https://open.spotify.com/track/1GpDcABDptCpIOALmD2S5f,0.797,0.601,1,-4.257,1,0.241,0.0675,0.0,0.0621,0.809,134.884,4,0.6690978429060767,1.1240333333333332,0.51305625,0.6170839786040511
5N3hjp1WNayUPZrA8kJmJP,Please Please Please,Please Please Please,pop,Sabrina Carpenter,2024-06-06,89,186365,True,https://open.spotify.com/track/5N3hjp1WNayUPZrA8kJmJP,0.669,0.586,9,-6.073,1,0.054,0.274,0.0,0.104,0.579,107.071,4,0.6378723140569172,0.8922583333333333,0.5423479166666666,0.6060308482601671
